source/locale/ru/LC_MESSAGES/short.po : 63 translated, 0 fuzzy, 0 untranslated.
source/locale/ru/LC_MESSAGES/start.po : 9 translated, 0 fuzzy, 0 untranslated.
source/locale/ru/LC_MESSAGES/start_digi.po : 12 translated, 0 fuzzy, 0 untranslated.
source/locale/ru/LC_MESSAGES/start_opt.po : 25 translated, 0 fuzzy, 1 untranslated.
source/locale/ru/LC_MESSAGES/subcircuit.po : 8 translated, 0 fuzzy, 32 untranslated.
source/locale/uk/LC_MESSAGES/characters.po : 179 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/index.po : 5 translated, 0 fuzzy, 5 untranslated.
source/locale/uk/LC_MESSAGES/internal.po : 32 translated, 0 fuzzy, 6 untranslated.
source/locale/uk/LC_MESSAGES/matching.po : 13 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/mathfunc.po : 389 translated, 0 fuzzy, 7 untranslated.
source/locale/uk/LC_MESSAGES/octave.po : 0 translated, 0 fuzzy, 6 untranslated.
source/locale/uk/LC_MESSAGES/programs.po : 26 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/short.po : 63 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/start.po : 9 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/start_digi.po : 12 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/start_opt.po : 26 translated, 0 fuzzy, 0 untranslated.
source/locale/uk/LC_MESSAGES/subcircuit.po : 8 translated, 0 fuzzy, 32 untranslated.
